ICO_name,Sinonym1,Sinonym2,Sinonym3,Sinonym4,Sinonym5,Sinonym6
AvaGo,ava-go.com,,,,,
AvailCom,availcom.io,,,,,
Avalanche,avalanchelabs.org,,,,,
Avalon,avalon.nu,,,,,
AvantGarde Ratings,avantgarderatings.com,,,,,
Avatar Network,avatar-network.io,,,,,
Avatara,avatara.world,,,,,
AvatarCoin,,,,,,
Aventus,aventus.io,aventus,,,Aventus,
AVESTA,avesta.io,,,,,
AVINOC,avinoc.com,avinoc,,,AVINOC,
Avrorum,avrorum.io,,,,,
AWARE,aware.bi,,,,,
AWAX,awax.co.uk,,,,,
Aworker,aworker.io,,,,,
AX1,ax1.io,,,,,
AXenS,axens.io,,,,,
Axiom,axiomcrypto.org,axiomcrypto,,,,
AxionV,blog.axionv.com,,,,,
AXNET,ax.net,,,,,
aXpire,axpire.io,axpire,,,aXpire,
AXT,axt.io,,,,,
Axtrust,axtrust.io,,,,,
Azbit,azbit.com,,,,,
B-Umbrella,bumbrella.org,,,,,
B.SURE,bsure.pro,,,,,
B21,b21.io,,,,,
B2AND,ico.b2and.com,,,,,
B2BX,b2bx.exchange,b2bx,,,B2BX,
B3Coin,b3coin.io,,,,,
Baanx,baanx.com,,,,,
BaapPay,coinveanc.info,,,,,
BaaSid,baasid.com,baasid,,,BaaSid,
BABB,getbabb.com,babb,,,BABB,
Bablos,bablos.com,,,,,
BACE Exchange,bace.io,,,,,
Back to Earth,backto.earth,starcredits,,,,
Backpack Travel,bpshield.com,,,,,
BactoAlarm,bactoalarm.io,,,,,
Bahiticoin,bahiticoin.com,,,,,
Baikalika,baikalika.io,,,,,
Bailsman,ico.bailsman.co,,,,,
Balehu Bucks,balehubucks.com,,,,,
Bali Coin,balicoin.io,,,,,
Ballot Coin,ballotcoin.io,,,,,
Baltic.fund,baltic.fund,,,,,
BaltiCrypto,balticrypto.io,,,,,
Bamboo,getbamboo.io,,,,,
Banana Papa,bananapapa.com,,,,,
Bananacoin,bananacoin.io,,,,,
Banca,banca.world,banca,,,Banca,
BancCoin,banccoin.io,,,,,
Bancor,bancor.network,bancor,,,Bancor,
BandZ,bandz.network,,,,,
BANER,ico.baner.su,,,,,
Bank of hash power,bhpcash.io,bhpcash,,,BHPCash,
Bank Of Memories,bmcoin.io,,,,,
Bank4YOU,bank4you.io,,,,,
Bankcoin,bankcoin.global,bankcoin,bankcoin.io,Bank Coin,Bankcoin,
Bankera,bankera.com,bankera,,,Bankera,
BANKEX,bankex.com,bankex,,,Bankex,
Banking Future Exchange,bfex.io,,,,,
Bankorus,bankorus.com,,,,,
BannerCoin,bannerview.com,,,,,
Banyan Network,banyanbbt.org,banyanbbt,,,,
BARTVault,bartvault.io,,,,,
Base-core,base-core.com,,,,,
Basic Attention,basicattentiontoken.org,basic-attention-token,,,Basic Attention Token,
Basic Income Guarantee (BIG),Basic Income Guarantee,BIG,,,,
