Main_name,Sinonym1,Sinonym2,Sinonym3,Sinonym4
Upfiring,upfiring.com,,,
Useless Ethereum Token,uetoken.com,,,
ArbitrageCT,arbitragect.com,,,
Ardor,ardorplatform.org,,,
Aurora DAO,auroradao.com,Aurora IDEX,,
BnkToTheFuture,bf-token.bnktothefuture.com,,,
BrahmaOS,brahmaos.io,,,
Carboneum [C8] Token,carboneum.io,,,
Cosmo Coin,cosmochain.io,,,
Dai,makerdao.com,,,
Darcrus,darcr.us,,,
DaTa eXchange,databrokerdao.com,,,
DecentBet,decent.bet,,,
Digital Asset Exchange Token,daxt.io,,,
Digital Insurance Token,inmediate.io,,,
DIMCOIN,dimcoin.io,,,
Dynamic Trading Rights,tokens.net,,,
Dynamic,duality.solutions,,,
FairGame,fair.game,,,
FLIP,fliptoken.gameflip.com,Gameflip,,
,,,,
GET Protocol,guts.tickets,,,
Guaranteed Ethurance Token Extra,inschain.io,,,
HashCoin,hashfuture.io,,,
Havven,havven.io,,,
IDEX Membership,auroradao.com,,,
Ignis,ardorplatform.org,,,
Invictus Hyperion Fund,invictuscapital.com,,,
iQuant,5iquant.org,,,
Knoxstertoken,fortknoxster.com,,,
Level Up Coin,play2live.io,Play2Live,,
Lina,lina.review,,,
Luna Stars,meetluna.com,,,
Maker,makerdao.com,,,
Mercury,darcr.us,,,
MobilinkToken,mobilink.io,,,
NEO,neo.org,,,
Nexty,nexty.io,,,
NuBits,nubits.com,NuShares,,
nUSD,havven.io,,,
Own,weown.com,,,
PitisCoin,pitiscoin.com,,,
Profile Utility Token,robin8put.org,Robin8,profile-utility-token,
Rock,gbx.gi,,,
Sequence,duality.solutions,,,
SIX,six.network,,,
StarterCoin,coinstarter.com,,,
Travala,project.travala.com,,,
TrueUSD,trusttoken.com,,,
Ubcoin Market,ubcoin.io,,,
UNIVERSAL CASH,u.cash,,,
Usechain Token,usechain.net,,,
VeChain,vechain.org,VeThor Token,,
VoteCoin,votecoin.site,,,
Wavebase,peoplewaveico.io,Peoplewave,,
Wowbit,wowoonet.com,,,
Xaurum,xaurum.org,,,
XMCT,xmedchain.com,,,
XRTFoundation,xrtfoundation.org,,,
BlockEx,daxt.io,digital-asset-exchange-token,Digital Asset Exchange Token,
Chainium ,weown.com,own,,
Gibraltar Blockchain Exchange (GBX),gbx.gi,rock,Gibraltar Blockchain Exchange,
Meet Luna,meetluna.com,luna-stars,,
